                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9226,                 1.2902,                 1.3198,                 0.7385,                0.84558,                0.82328,                0.40952,                 1.6474,                 1.4094,                 1.1895,               0.069171,              0.0031711,              0.0031711
                     35,                 1.9291,                 1.2844,                 1.3082,                0.72629,                0.79809,                0.77728,                0.31042,                 1.9493,                 1.3275,                 1.2306,               0.068257,              0.0032574,              0.0032574
                     36,                 1.9943,                 1.3019,                  1.341,                0.78467,                0.86741,                0.87058,                0.44768,                 1.5789,                 1.1045,                 1.1553,               0.067343,              0.0033434,              0.0033434
                     37,                 1.9392,                 1.2302,                 1.3204,                0.80936,                0.72788,                0.80265,                0.36605,                 1.7356,                 1.4493,                 1.1907,               0.066429,              0.0034289,              0.0034289
                     38,                 1.9296,                 1.2658,                 1.3189,                 0.7889,                0.85993,                0.85936,                0.43574,                 1.5854,                 1.0954,                 1.1584,               0.065514,              0.0035141,              0.0035141
                     39,                 1.8789,                 1.2412,                 1.2925,                0.85698,                0.85312,                0.89567,                 0.4716,                 1.5161,                  1.118,                 1.1306,               0.064599,              0.0035988,              0.0035988
                     40,                 1.8845,                 1.2246,                 1.2821,                0.78765,                0.86621,                0.87185,                0.41155,                 1.6365,                 1.0547,                 1.1496,               0.063683,              0.0036832,              0.0036832
                     41,                 1.9109,                 1.2849,                 1.2685,                0.83547,                0.85045,                0.86879,                0.41153,                 1.6852,                 1.3223,                 1.1781,               0.062767,              0.0037672,              0.0037672
                     42,                 1.8852,                  1.172,                 1.2601,                0.74963,                0.79776,                0.84676,                  0.354,                 1.8549,                 1.3196,                 1.2044,               0.061851,              0.0038507,              0.0038507
                     43,                 1.9073,                 1.2405,                 1.2694,                0.81597,                0.85775,                0.86742,                0.43193,                 1.5835,                 1.0883,                 1.1493,               0.060934,              0.0039339,              0.0039339
                     44,                 1.8778,                 1.1911,                 1.2472,                0.76152,                0.83494,                0.83612,                0.36541,                 1.7665,                 1.0746,                 1.1761,               0.060017,              0.0040167,              0.0040167
                     45,                 1.8507,                 1.1845,                 1.2539,                0.84143,                0.87145,                0.89806,                0.47351,                 1.5381,                 1.0795,                 1.1373,               0.059099,              0.0040991,              0.0040991
                     46,                 1.8979,                 1.1768,                  1.258,                0.86799,                0.85402,                0.89151,                0.41181,                  1.726,                 1.1453,                 1.1776,               0.058181,               0.004181,               0.004181
                     47,                 1.8343,                 1.1408,                 1.2589,                0.83822,                0.87971,                0.89116,                0.46323,                 1.5357,                 1.0314,                 1.1351,               0.057263,              0.0042626,              0.0042626
                     48,                 1.8408,                 1.1354,                  1.243,                0.85793,                0.86328,                0.89817,                0.41833,                 1.6836,                 1.0073,                 1.1516,               0.056344,              0.0043438,              0.0043438
                     49,                 1.9505,                 1.1886,                 1.2573,                0.87584,                0.84519,                0.88612,                0.45855,                 1.5485,                 1.0671,                 1.1419,               0.055425,              0.0044246,              0.0044246
                     50,                 1.8948,                  1.195,                 1.2849,                0.87384,                0.87875,                0.90144,                0.45018,                 1.5883,                0.93283,                 1.1263,               0.054505,               0.004505,               0.004505
                     51,                 1.8273,                 1.1969,                 1.2127,                0.82983,                0.81582,                0.84538,                0.39206,                 1.7675,                 1.2213,                 1.1744,               0.053585,               0.004585,               0.004585
                     52,                 1.7989,                 1.1859,                 1.2165,                0.86069,                0.88321,                0.88941,                0.46401,                 1.5299,                0.90419,                 1.1123,               0.052665,              0.0046646,              0.0046646
                     53,                  1.746,                 1.1585,                 1.2065,                0.86944,                0.87972,                0.91112,                0.47462,                 1.5542,                  1.233,                 1.1074,               0.051744,              0.0047438,              0.0047438
                     54,                 1.8093,                  1.111,                  1.218,                0.87025,                0.88258,                0.88992,                0.43851,                 1.6157,                0.91349,                 1.1153,               0.050823,              0.0048226,              0.0048226
                     55,                 1.8021,                 1.1224,                 1.2293,                0.84763,                0.89551,                0.89796,                0.42697,                 1.6971,                 1.3002,                 1.1422,               0.049901,              0.0049011,              0.0049011
                     56,                 1.8414,                  1.141,                 1.2296,                0.87738,                0.90526,                0.90851,                0.48272,                 1.4982,                0.86949,                 1.0963,               0.048979,              0.0049791,              0.0049791
                     57,                 1.8137,                 1.1516,                 1.2138,                0.80041,                0.87697,                0.87273,                0.39541,                 1.8257,                 1.3044,                 1.1785,               0.048057,              0.0050567,              0.0050567
                     58,                  1.826,                 1.1274,                 1.2372,                0.88977,                0.87233,                0.91596,                0.48162,                 1.5543,                0.87555,                 1.1183,               0.047134,              0.0051339,              0.0051339
