                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9985,                 1.2959,                 1.3684,                0.61043,                0.80207,                0.74199,                0.37225,                 1.6469,                 1.7487,                 1.2214,               0.068942,              0.0029422,              0.0029422
                     35,                 2.0129,                 1.3449,                 1.3512,                0.72606,                0.76694,                0.74806,                0.32415,                 1.8262,                 1.4851,                 1.2415,               0.068015,              0.0030149,              0.0030149
                     36,                 2.0294,                 1.3364,                 1.3705,                0.70002,                 0.8328,                0.80957,                0.40326,                 1.6182,                 1.3155,                 1.1865,               0.067087,              0.0030868,              0.0030868
                     37,                  1.997,                 1.2643,                 1.3542,                0.77044,                0.76335,                0.78292,                0.33379,                 1.8413,                 1.5562,                 1.2282,               0.066158,              0.0031579,              0.0031579
                     38,                 1.9774,                 1.2865,                 1.3435,                 0.6836,                0.83893,                0.78226,                0.36505,                 1.7087,                 1.3448,                 1.1966,               0.065228,              0.0032282,              0.0032282
                     39,                 1.9368,                 1.2686,                 1.3244,                0.79343,                 0.7978,                0.81818,                0.40219,                 1.6242,                 1.2839,                 1.1596,               0.064298,              0.0032977,              0.0032977
                     40,                 1.9239,                 1.2566,                 1.3041,                0.73702,                0.85264,                0.82408,                0.35716,                 1.7783,                 1.3085,                 1.1755,               0.063366,              0.0033664,              0.0033664
                     41,                 1.9589,                 1.2689,                 1.2921,                0.75478,                0.79903,                0.78846,                0.34935,                 1.8335,                 1.6664,                 1.2214,               0.062434,              0.0034343,              0.0034343
                     42,                 1.9308,                 1.2001,                 1.2811,                0.72968,                0.75546,                0.76491,                0.29655,                 1.9917,                 1.4803,                 1.2628,               0.061501,              0.0035015,              0.0035015
                     43,                 1.9186,                 1.2373,                 1.2776,                0.74368,                0.82849,                0.79416,                0.38677,                   1.68,                 1.5257,                 1.1972,               0.060568,              0.0035678,              0.0035678
                     44,                  1.913,                 1.2335,                 1.2723,                0.79269,                0.82524,                0.83183,                0.37443,                 1.7356,                 1.0878,                 1.1689,               0.059633,              0.0036333,              0.0036333
                     45,                 1.8453,                 1.2924,                 1.2515,                 0.8203,                0.88245,                0.86684,                0.42073,                 1.6072,                 1.3245,                 1.1395,               0.058698,              0.0036981,              0.0036981
                     46,                 1.8801,                 1.1765,                 1.2611,                0.82959,                0.81817,                0.84724,                0.33532,                 1.9561,                 1.4257,                 1.2381,               0.057762,              0.0037621,              0.0037621
                     47,                 1.8838,                 1.1966,                  1.275,                0.82477,                0.85211,                0.85689,                0.44489,                 1.5689,                 1.1873,                 1.1423,               0.056825,              0.0038252,              0.0038252
                     48,                 1.8385,                 1.1508,                 1.2483,                0.86183,                0.83455,                0.86877,                 0.3985,                 1.7184,                 1.0944,                 1.1603,               0.055888,              0.0038876,              0.0038876
                     49,                 1.9177,                 1.2244,                 1.2521,                0.85169,                0.86346,                0.87856,                 0.4418,                 1.6233,                 1.2048,                 1.1524,               0.054949,              0.0039492,              0.0039492
                     50,                 1.9218,                 1.2262,                 1.2941,                0.83729,                0.86555,                0.86491,                0.39533,                 1.7042,                 1.0664,                 1.1561,                0.05401,                0.00401,                0.00401
                     51,                 1.8247,                 1.2036,                 1.2157,                0.76721,                 0.8091,                0.81812,                0.33809,                 1.9445,                 1.4463,                  1.219,                0.05307,                0.00407,                0.00407
                     52,                  1.837,                 1.2362,                 1.2281,                0.82507,                0.87042,                 0.8715,                0.42044,                 1.6663,                0.98373,                 1.1563,               0.052129,              0.0041292,              0.0041292
                     53,                 1.7748,                 1.1717,                 1.2143,                0.84433,                0.90581,                0.89362,                0.46748,                 1.5506,                 1.1808,                 1.1187,               0.051188,              0.0041876,              0.0041876
                     54,                 1.8631,                 1.0987,                 1.2333,                0.81194,                0.83609,                0.84686,                0.36962,                 1.8201,                 1.0733,                 1.1611,               0.050245,              0.0042453,              0.0042453
                     55,                 1.8232,                 1.1276,                 1.2425,                0.84725,                0.88821,                0.89726,                0.44357,                 1.6381,                 1.1992,                 1.1244,               0.049302,              0.0043021,              0.0043021
                     56,                 1.8613,                 1.1415,                 1.2339,                0.85064,                0.85851,                 0.8684,                0.39759,                 1.7353,                0.98877,                 1.1413,               0.048358,              0.0043581,              0.0043581
                     57,                 1.8379,                 1.1626,                 1.2212,                0.83587,                0.87797,                0.88039,                 0.4019,                 1.7657,                 1.2357,                 1.1574,               0.047413,              0.0044134,              0.0044134
                     58,                 1.8175,                 1.1344,                 1.2345,                0.84526,                0.88191,                0.89241,                0.46826,                 1.5432,                0.93167,                 1.1057,               0.046468,              0.0044679,              0.0044679
                     59,                 1.8427,                 1.1645,                 1.2154,                 0.8488,                0.85591,                0.87605,                0.36698,                 1.8886,                 1.2386,                 1.1993,               0.045522,              0.0045215,              0.0045215
                     60,                 1.7913,                 1.0789,                 1.2125,                0.86802,                0.88214,                0.88936,                0.45785,                 1.5361,                0.90598,                   1.11,               0.044574,              0.0045744,              0.0045744
                     61,                 1.7954,                 1.1164,                 1.1843,                0.77939,                0.78246,                0.81044,                0.31135,                 2.0036,                 1.3121,                 1.2209,               0.043626,              0.0046265,              0.0046265
                     62,                 1.8137,                 1.1182,                 1.2131,                0.88173,                 0.8694,                0.90567,                0.48136,                 1.5093,                0.88631,                 1.1032,               0.042678,              0.0046778,              0.0046778
                     63,                 1.8058,                 1.1174,                 1.1944,                0.83286,                0.83789,                0.86332,                0.34166,                 1.9675,                 1.3815,                 1.2316,               0.041728,              0.0047283,              0.0047283
                     64,                 1.7877,                 1.1091,                 1.1914,                0.81834,                0.89117,                0.88963,                0.43474,                 1.6095,                0.98583,                 1.1257,               0.040778,               0.004778,               0.004778
                     65,                  1.767,                 1.0782,                 1.1822,                0.84309,                0.86171,                0.87916,                0.37456,                 1.7884,                 1.2015,                 1.1647,               0.039827,              0.0048269,              0.0048269
                     66,                 1.7735,                 1.0674,                 1.1903,                0.82136,                0.87542,                0.89597,                0.45225,                 1.5733,                0.97095,                 1.1276,               0.038875,               0.004875,               0.004875
                     67,                 1.7783,                 1.0611,                 1.1797,                0.77778,                0.85417,                0.85958,                0.35245,                 1.9067,                 1.3807,                  1.213,               0.037922,              0.0049224,              0.0049224
                     68,                 1.7753,                 1.0787,                 1.1976,                0.82668,                0.84135,                0.87694,                 0.4237,                 1.6022,                0.94525,                 1.1266,               0.036969,              0.0049689,              0.0049689
                     69,                  1.761,                 1.0697,                 1.1671,                0.69073,                0.81567,                0.77794,                0.31555,                 1.8999,                 1.3693,                 1.2049,               0.036015,              0.0050146,              0.0050146
                     70,                 1.7405,                 1.0761,                 1.1688,                0.78788,                0.83831,                0.82951,                0.35912,                 1.7365,                0.99812,                  1.139,                0.03506,              0.0050596,              0.0050596
                     71,                 1.7918,                 1.1013,                 1.1805,                0.80748,                0.87863,                0.88392,                0.42267,                 1.6272,                 1.0523,                 1.1317,               0.034104,              0.0051038,              0.0051038
                     72,                  1.764,                 1.0487,                 1.1606,                0.78485,                0.84471,                0.84498,                0.36408,                 1.7636,                 1.1178,                 1.1694,               0.033147,              0.0051471,              0.0051471
                     73,                 1.7722,                  1.056,                 1.1737,                0.79558,                0.85657,                0.87337,                0.40172,                 1.6903,                 1.1159,                 1.1444,                0.03219,              0.0051897,              0.0051897
                     74,                 1.7585,                 1.0608,                 1.1783,                0.75095,                0.85888,                0.84317,                0.36566,                 1.7734,                 1.0693,                 1.1604,               0.031232,              0.0052315,              0.0052315
                     75,                  1.833,                 1.0814,                 1.1937,                0.83505,                0.89386,                0.89778,                0.44194,                  1.573,                0.95932,                 1.1036,               0.030272,              0.0052725,              0.0052725
                     76,                 1.7621,                 1.0643,                 1.1798,                0.77332,                 0.8583,                0.85829,                0.38036,                 1.7223,                 1.0226,                 1.1404,               0.029313,              0.0053127,              0.0053127
                     77,                 1.6861,                 1.0604,                  1.151,                0.82336,                0.85634,                 0.8616,                0.39598,                 1.6783,                 1.0648,                 1.1263,               0.028352,              0.0053521,              0.0053521
                     78,                 1.6667,                 1.0332,                 1.1633,                0.77439,                0.90155,                0.90822,                0.48014,                 1.5064,                  1.016,                 1.0788,               0.027391,              0.0053907,              0.0053907
                     79,                 1.7365,                 1.0475,                 1.1643,                0.79453,                0.84575,                0.88974,                0.43672,                 1.6205,                0.95119,                 1.1113,               0.026429,              0.0054286,              0.0054286
                     80,                 1.6919,                 1.0173,                 1.1465,                0.81053,                0.89461,                0.90159,                0.41478,                  1.707,                  1.082,                 1.1244,               0.025466,              0.0054656,              0.0054656
                     81,                 1.7109,                   1.02,                 1.1556,                0.69105,                0.87172,                0.86323,                 0.3758,                 1.7836,                 1.1628,                 1.1636,               0.024502,              0.0055018,              0.0055018
                     82,                 1.7301,                 1.0602,                 1.1726,                 0.8303,                0.89809,                0.91693,                0.49479,                 1.4782,                0.85984,                  1.072,               0.023537,              0.0055373,              0.0055373
                     83,                 1.6719,                 1.0326,                 1.1419,                 0.8073,                0.87786,                0.90425,                0.44954,                 1.6119,                 1.0972,                 1.1157,               0.022572,               0.005572,               0.005572
                     84,                 1.6708,                 1.0114,                 1.1504,                0.79114,                0.85021,                0.88155,                0.41897,                 1.6635,                0.94836,                 1.1029,               0.021606,              0.0056058,              0.0056058
                     85,                 1.6935,                 1.0123,                 1.1284,                0.80908,                0.86526,                0.87771,                0.43358,                 1.5972,                 1.0253,                 1.1095,               0.020639,              0.0056389,              0.0056389
                     86,                 1.7251,                0.99331,                  1.154,                0.81079,                  0.836,                0.87361,                0.38912,                 1.7225,                 1.0608,                 1.1197,               0.019671,              0.0056712,              0.0056712
                     87,                 1.6178,                0.97624,                 1.1186,                0.78883,                0.83831,                0.86439,                0.39616,                 1.6329,                0.97442,                 1.1193,               0.018703,              0.0057027,              0.0057027
                     88,                 1.6882,                0.99232,                  1.144,                0.85762,                0.90091,                 0.9123,                0.50138,                 1.4533,                0.88325,                 1.0686,               0.017733,              0.0057334,              0.0057334
                     89,                 1.6316,                0.94024,                 1.1219,                0.79237,                0.81242,                0.83796,                0.36574,                 1.8006,                 1.0407,                 1.1577,               0.016763,              0.0057633,              0.0057633
