class,confidence,keyword,overlap_perc,x1,y1,x2,y2
Handwriting,0.32255277037620544,1year,59.77397163562481,1567,296,1755,356
Handwriting,0.5801787376403809,1day,50.892911166867286,1873,283,2077,340
Handwriting,0.49744948744773865,1month,93.62214618343396,2187,277,2421,356
Handwriting,0.7485301494598389,1sex,85.64825237820723,1504,1102,1719,1164
Handwriting,0.412179172039032,2year,32.839342401307526,1556,2435,1648,2498
Handwriting,0.2161247283220291,2year,37.2326748806324,1583,2440,1692,2514
Handwriting,0.718569815158844,2day,71.26883145341002,1862,2436,2075,2506
Handwriting,0.19067056477069855,2day,25.911744460845103,1858,2476,2072,2564
Handwriting,0.13756339251995087,2day,57.781590049200545,1859,2448,2075,2537
Handwriting,0.33124616742134094,2month,75.9365583523079,2155,2434,2365,2512
Handwriting,0.27335119247436523,2place,21.60745367055473,1659,2739,1938,2784
Handwriting,0.6372170448303223,2sex,70.19550737780708,1482,3247,1693,3310
Handwriting,0.36746129393577576,3year,18.635861802863634,3195,1452,3537,1542
Handwriting,0.11215083301067352,3year,28.33809319568104,3024,1428,3179,1468
Handwriting,0.09563496708869934,3year,27.75622005048738,3034,1399,3210,1443
Handwriting,0.5140888094902039,3day,44.07478931374397,3308,1393,3548,1448
Handwriting,0.36746129393577576,3day,22.188050679821437,3195,1452,3537,1542
Handwriting,0.1508200764656067,3day,63.55296774849456,3306,1402,3548,1466
Handwriting,0.6213404536247253,3month,54.54652703630266,3654,1390,3875,1454
Handwriting,0.23736155033111572,3place,22.486539978177426,2539,1590,3907,1709
Handwriting,0.19829915463924408,3place,73.08281230062524,2664,1660,3945,1748
Handwriting,0.15345826745033264,3place,52.66683679979588,2702,1638,3944,1732
Handwriting,0.7357629537582397,3sex,57.89713505896834,2928,2233,3179,2289
Handwriting,0.2085341513156891,3sex,24.13111626005173,2614,2087,3915,2247
Handwriting,0.1788463443517685,3name,20.662162675294674,2535,2266,2887,2376
